MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
1.35,-5.0,0.0,0.0,0.0,0,0.037902122132,-0.04272656496753,0.0,0.0,0.00521308007913,0.0,0,0
1.35,0.0,0.0,0.0,0.0,0,0.044819072791,0.0712940371726,0.0,0.0,-0.00343230342323,0.0,0,0
1.35,5.0,0.0,0.0,0.0,0,0.0557332305559999,0.2238802967085201,0.0,0.0,-0.014053444136597,0.0,0,0
1.35,10.0,0.0,0.0,0.0,0,0.0700597468678997,0.3944418674919995,0.0,0.0,-0.02146470946981,0.0,0,0
1.35,0.0,2.0,0.0,0.0,0,0.0438913354582148,0.0713550921332,0.0,0.0014130532212508,-0.00324755801231,0.0109359429974657,0,0
1.35,-5.0,2.0,0.0,0.0,0,0.0370756455568437,-0.0438521548799344,0.0,0.0034948414676886,0.00548883899235,0.0130564882408794,0,0
1.35,5.0,2.0,0.0,0.0,0,0.0550318361002177,0.225236587964267,0.0,-0.0015829471214485,-0.01426242902037,0.0092932752061653,0,0
1.35,10.0,2.0,0.0,0.0,0,0.0697615108847705,0.3971025922520761,0.0,-0.0037336376249383,-0.0224316626606485,0.0107135980573436,0,0
1.35,-10.0,0.0,0.0,0.0,0,0.0301922841809,-0.1716590167352396,0.0,0.0,0.01527847696023,0.0,0,0
1.35,-5.0,4.0,0.0,0.0,0,0.0341997678773305,-0.0467901791271348,0.0,0.0071474448067408,0.006219382478385,0.0258907090606698,0,0
1.35,0.0,4.0,0.0,0.0,0,0.0412425505636704,0.0718971083485,0.0,0.0025721073435806,-0.00299950041809,0.023827994870925,0,0
1.35,5.0,4.0,0.0,0.0,0,0.0524953661518256,0.2276375271809476,0.0,-0.003340369520058,-0.01449414902445,0.0227328814593802,0,0
1.35,10.0,4.0,0.0,0.0,0,0.0671862198842438,0.401239663946269,0.0,-0.0088645538017862,-0.0235210515,0.0236482931491936,0,0
1.35,-10.0,4.0,0.0,0.0,0,0.0254990998615548,-0.1736930498011723,0.0,0.013713185641129,0.016177358,0.0317942164072581,0,0
1.35,-10.0,2.0,0.0,0.0,0,0.0290303595834497,-0.1721645324641,0.0,0.0067585374019811,0.0154819265,0.0163104403225806,0,0
2.0,0.0,0.0,0.0,0.0,0,0.03432,0.07113,0.0,0.0,-0.00403,0.0,0,0
2.0,5.0,0.0,0.0,0.0,0,0.0425215282538065,0.1988426516996812,0.0,0.0,0.0,0.0,0,0
2.0,-6.0,-8.0,0.0,0.0,0,0.0235909443068414,-0.0493361939882256,0.0888,-0.0136,0.0055,-0.0435,0,0
2.0,-4.0,-8.0,0.0,0.0,0,0.0248030668551254,-0.0115583299927961,0.0775,-0.0061,0.0013,-0.0383,0,0
2.0,-2.0,-8.0,0.0,0.0,0,0.0272474252027726,0.0311680653172425,0.0709,-0.0041,-0.0025,-0.0356,0,0
2.0,0.0,-8.0,0.0,0.0,0,0.0304012297103662,0.0782,0.0671,-0.0016,-0.006,-0.0342,0,0
2.0,2.0,-8.0,0.0,0.0,0,0.0338468529169231,0.1288597360012626,0.0649,0.0022,-0.0092,-0.0336,0,0
2.0,4.0,-8.0,0.0,0.0,0,0.0374851446751915,0.1822588047985234,0.0632,0.006,-0.0123,-0.0332,0,0
2.0,6.0,-8.0,0.0,0.0,0,0.0412310215726394,0.237712026678307,0.0617,0.0091,-0.0149,-0.0332,0,0
2.0,8.0,-8.0,0.0,0.0,0,0.0449084391657357,0.2945162587223476,0.0601,0.0119,-0.017,-0.0338,0,0
2.0,10.0,-8.0,0.0,0.0,0,0.0487765645651926,0.3518148191764937,0.059,0.0155,-0.0183,-0.0359,0,0
2.0,12.0,-8.0,0.0,0.0,0,0.0531044422437858,0.4088759549957533,0.0589,0.0195,-0.0183,-0.0405,0,0
2.0,14.0,-8.0,0.0,0.0,0,0.0580329702362292,0.4651565846827672,0.0,0.0,-0.0168,0.0,0,0
2.0,16.0,-8.0,0.0,0.0,0,0.0641599307413864,0.5199259221195756,0.0,0.0,-0.0131,0.0,0,0
2.0,-6.0,-4.0,0.0,0.0,0,0.0224483811604041,-0.0479089449990439,0.0444,-0.0068,0.0029,-0.0217,0,0
2.0,-4.0,-4.0,0.0,0.0,0,0.0241301022500121,-0.0110100507743691,0.0388,-0.003,0.0007,-0.0191,0,0
