MACH,CNA,CLLP,CMA,CNQ,CMQ,CNAD,CMAD,CYP,CLNP,CYB,CLNB,CLLB,CYR,CLNR,CLLR,CYBD,CLNBD,CLLBD,CNDEL,CLLDEL,CMDEL,CNDER,CLLDER,CMDER,REF_AREA,REF_LENGTH_LONG,REF_LENGTH_LAT
1.350000,1.099252,-0.466774,-0.104182,0.795649,-3.029816,0.468489,-6.262797,1.525937,0.247734,-0.465369,0.261605,-0.085303,1.111615,-22.804459,0.013871,-0.453405,-49.633619,0.012079,0.128621,0.046165,-0.053110,0.128621,-0.046165,-0.053110,2.520000,3.290000,1.240000
2.000000,1.031543,-0.441734,-0.101629,0.587001,-0.695910,0.323960,-0.722340,1.387088,0.257659,-0.446937,0.257159,-0.023167,0.934535,-5.517772,0.013871,-0.348794,-7.282048,0.012079,0.096279,0.034913,-0.039635,0.096279,-0.034913,-0.039635,2.520000,3.290000,1.240000
2.000000,1.031543,-0.441734,-0.101629,0.587001,-0.695910,0.323960,-0.722340,1.387088,0.257659,-0.446937,0.257159,-0.023167,0.934535,-5.517772,0.013871,-0.348794,-7.282048,0.012079,0.096279,0.034913,-0.039635,0.096279,-0.034913,-0.039635,2.520000,3.290000,1.240000
3.000000,0.919091,-0.379876,-0.091254,0.371075,-0.245245,0.161324,-0.136060,1.153663,0.221899,-0.396464,0.224943,-0.003999,0.714835,-1.796817,0.013871,-0.227730,-1.984793,0.012079,0.063132,0.023424,-0.026139,0.063132,-0.023424,-0.026139,2.520000,3.290000,1.240000
4.000000,0.821029,-0.306749,-0.082047,0.238238,-0.141699,0.061829,-0.036426,0.880234,0.173685,-0.346676,0.189245,0.000959,0.546603,-0.940563,0.013871,-0.143201,-0.893877,0.012079,0.047271,0.017672,-0.019610,0.047271,-0.017672,-0.019610,2.520000,3.290000,1.240000
5.000000,0.733322,-0.193877,-0.074409,0.156535,-0.101430,0.002841,-0.005330,0.355243,0.408223,-0.305963,0.160211,0.001947,0.427370,-0.616636,0.013871,-0.085550,-0.474080,0.012079,0.037870,0.014214,-0.015726,0.037870,-0.014214,-0.015726,2.520000,3.290000,1.240000
6.000000,0.627169,-0.109028,-0.070196,0.127031,-0.082603,-0.031750,0.017795,-0.037622,1.219009,-0.274039,0.138691,0.002215,0.342211,-0.460056,0.013871,-0.047084,-0.263944,0.012079,0.031620,0.011897,-0.013139,0.031620,-0.011897,-0.013139,2.520000,3.290000,1.240000
7.000000,0.539255,-0.093078,-0.061487,0.109854,-0.070579,-0.053939,0.042836,-0.073975,0.931229,-0.248032,0.122450,0.002247,0.280142,-0.372837,0.013871,-0.021073,-0.146776,0.012079,0.027154,0.010235,-0.011288,0.027154,-0.010235,-0.011288,2.520000,3.290000,1.240000
8.000000,0.471894,-0.095413,-0.054159,0.096785,-0.061927,-0.065788,0.068453,-0.017412,0.564921,-0.222735,0.112441,0.002261,0.241177,-0.325246,0.013871,-0.002108,-0.116036,0.011638,0.023801,0.008982,-0.009897,0.023801,-0.008982,-0.009897,2.520000,3.290000,1.240000
9.000000,0.419297,-0.095024,-0.048277,0.086428,-0.055186,-0.069353,0.093303,0.021947,0.270808,-0.201031,0.103693,0.002270,0.213538,-0.284536,0.013871,0.012540,-0.093869,0.011132,0.021188,0.008004,-0.008813,0.021188,-0.008004,-0.008813,2.520000,3.290000,1.240000
