Altitude_km,Temperatura_K,Pressao_Pa,Densidade_kgm3,VelocidadeSom_ms,Gravidade
0.00,288.15,101325.00,1.23,340.29,9.81
1.00,281.65,89876.29,1.11,336.43,9.80
2.00,275.15,79501.42,1.01,332.53,9.80
3.00,268.66,70121.16,0.91,328.58,9.80
4.00,262.17,61660.44,0.82,324.59,9.79
5.00,255.68,54048.29,0.74,320.54,9.79
6.00,249.19,47217.64,0.66,316.45,9.79
7.00,242.70,41105.28,0.59,312.30,9.79
8.00,236.22,35651.63,0.53,308.10,9.78
9.00,229.73,30800.70,0.47,303.85,9.78
10.00,223.25,26499.90,0.41,299.53,9.78
11.00,216.77,22699.96,0.36,295.15,9.77
12.00,216.65,19399.45,0.31,295.07,9.77
13.00,216.65,16579.63,0.27,295.07,9.77
14.00,216.65,14170.38,0.23,295.07,9.76
15.00,216.65,12111.83,0.19,295.07,9.76
16.00,216.65,10352.83,0.17,295.07,9.76
17.00,216.65,8849.73,0.14,295.07,9.75
18.00,216.65,7565.23,0.12,295.07,9.75
19.00,216.65,6467.49,0.10,295.07,9.75
20.00,216.65,5529.31,0.09,295.07,9.75
21.00,217.58,4728.94,0.08,295.70,9.74
22.00,218.57,4047.50,0.06,296.38,9.74
23.00,219.57,3466.87,0.06,297.05,9.74
24.00,220.56,2971.75,0.05,297.72,9.73
25.00,221.55,2549.22,0.04,298.39,9.73
26.00,222.54,2188.38,0.03,299.05,9.73
27.00,223.54,1879.98,0.03,299.72,9.72
28.00,224.53,1616.20,0.03,300.38,9.72
29.00,225.52,1390.42,0.02,301.05,9.72
30.00,226.51,1197.03,0.02,301.71,9.71
31.00,227.50,1031.26,0.02,302.37,9.71
32.00,228.49,889.06,0.01,303.02,9.71
33.00,230.97,767.31,0.01,304.67,9.71
34.00,233.74,663.41,0.01,306.49,9.70
35.00,236.51,574.59,0.01,308.30,9.70
36.00,239.28,498.52,0.01,310.10,9.70
37.00,242.05,433.25,0.01,311.89,9.69
38.00,244.82,377.14,0.01,313.66,9.69
39.00,247.58,328.82,0.00,315.43,9.69
40.00,250.35,287.14,0.00,317.19,9.68
41.00,253.11,251.13,0.00,318.93,9.68
42.00,255.88,219.97,0.00,320.67,9.68
43.00,258.64,192.95,0.00,322.40,9.68
44.00,261.40,169.50,0.00,324.11,9.67
45.00,264.16,149.10,0.00,325.82,9.67
46.00,266.92,131.34,0.00,327.52,9.67
47.00,269.68,115.85,0.00,329.21,9.66
48.00,270.65,102.30,0.00,329.80,9.66
49.00,270.65,90.34,0.00,329.80,9.66
50.00,270.65,79.78,0.00,329.80,9.65
51.00,270.65,70.46,0.00,329.80,9.65
52.00,269.03,62.21,0.00,328.81,9.65
53.00,266.28,54.87,0.00,327.12,9.65
54.00,263.52,48.34,0.00,325.43,9.64
55.00,260.77,42.53,0.00,323.72,9.64
56.00,258.02,37.36,0.00,322.01,9.64
57.00,255.27,32.78,0.00,320.29,9.63
58.00,252.52,28.72,0.00,318.56,9.63
59.00,249.77,25.13,0.00,316.82,9.63
60.00,247.02,21.96,0.00,315.07,9.62
61.00,244.27,19.16,0.00,313.31,9.62
62.00,241.53,16.69,0.00,311.55,9.62
63.00,238.78,14.52,0.00,309.77,9.62
64.00,236.04,12.61,0.00,307.99,9.61
65.00,233.29,10.93,0.00,306.19,9.61
66.00,230.55,9.46,0.00,304.39,9.61
67.00,227.81,8.18,0.00,302.57,9.60
68.00,225.07,7.05,0.00,300.74,9.60
69.00,222.32,6.07,0.00,298.91,9.60
70.00,219.58,5.22,0.00,297.06,9.59
71.00,216.85,4.48,0.00,295.20,9.59
72.00,214.26,3.84,0.00,293.44,9.59
73.00,212.31,3.28,0.00,292.10,9.59
74.00,210.35,2.80,0.00,290.75,9.58
75.00,208.40,2.39,0.00,289.39,9.58
76.00,206.45,2.03,0.00,288.04,9.58
77.00,204.49,1.73,0.00,286.67,9.57
78.00,202.54,1.47,0.00,285.30,9.57
79.00,200.59,1.24,0.00,283.92,9.57
80.00,198.64,1.05,0.00,282.54,9.56
81.00,196.69,0.89,0.00,281.15,9.56
82.00,194.74,0.75,0.00,279.75,9.56
83.00,192.79,0.63,0.00,278.35,9.56
84.00,190.84,0.53,0.00,276.94,9.55
85.00,188.89,0.45,0.00,275.52,9.55
86.00,186.95,0.37,0.00,274.09,9.55
87.00,186.87,0.31,0.00,274.04,9.54
88.00,186.87,0.26,0.00,274.04,9.54
89.00,186.87,0.22,0.00,274.04,9.54
90.00,186.87,0.18,0.00,274.04,9.53
91.00,186.87,0.15,0.00,274.04,9.53
92.00,186.96,0.13,0.00,274.11,9.53
93.00,187.25,0.11,0.00,274.32,9.53
94.00,187.74,0.09,0.00,274.67,9.52
95.00,188.42,0.08,0.00,275.17,9.52
96.00,189.31,0.06,0.00,275.82,9.52
97.00,190.40,0.05,0.00,276.62,9.51
98.00,191.72,0.04,0.00,277.57,9.51
99.00,193.28,0.04,0.00,278.70,9.51
100.00,195.08,0.03,0.00,280.00,9.51
101.00,197.16,0.03,0.00,281.48,9.50
102.00,199.53,0.02,0.00,283.17,9.50
103.00,202.23,0.02,0.00,285.08,9.50
104.00,205.31,0.02,0.00,287.24,9.49
105.00,208.84,0.01,0.00,289.70,9.49
106.00,212.89,0.01,0.00,292.50,9.49
107.00,217.63,0.01,0.00,295.74,9.48
108.00,223.29,0.01,0.00,299.55,9.48
109.00,230.33,0.01,0.00,304.24,9.48
110.00,240.00,0.01,0.00,310.56,9.48
111.00,252.00,0.01,0.00,318.23,9.47
112.00,264.00,0.01,0.00,325.72,9.47
113.00,276.00,0.00,0.00,333.04,9.47
114.00,288.00,0.00,0.00,340.20,9.46
115.00,300.00,0.00,0.00,347.22,9.46
116.00,312.00,0.00,0.00,354.10,9.46
117.00,324.00,0.00,0.00,360.84,9.46
118.00,336.00,0.00,0.00,367.46,9.45
119.00,348.00,0.00,0.00,373.97,9.45
120.00,360.00,0.00,0.00,380.36,9.45
121.00,371.89,0.00,0.00,386.59,9.44
122.00,383.55,0.00,0.00,392.60,9.44
123.00,394.99,0.00,0.00,398.42,9.44
124.00,406.22,0.00,0.00,404.04,9.43
125.00,417.23,0.00,0.00,409.48,9.43
126.00,428.04,0.00,0.00,414.75,9.43
127.00,438.64,0.00,0.00,419.85,9.43
128.00,449.04,0.00,0.00,424.80,9.42
129.00,459.25,0.00,0.00,429.60,9.42
130.00,469.27,0.00,0.00,434.26,9.42
131.00,479.09,0.00,0.00,438.79,9.41
132.00,488.74,0.00,0.00,443.18,9.41
133.00,498.20,0.00,0.00,447.45,9.41
134.00,507.48,0.00,0.00,451.60,9.41
135.00,516.59,0.00,0.00,455.63,9.40
136.00,525.53,0.00,0.00,459.56,9.40
137.00,534.29,0.00,0.00,463.38,9.40
138.00,542.90,0.00,0.00,467.09,9.39
139.00,551.34,0.00,0.00,470.71,9.39
140.00,559.63,0.00,0.00,474.23,9.39
141.00,567.76,0.00,0.00,477.67,9.39
142.00,575.73,0.00,0.00,481.01,9.38
143.00,583.56,0.00,0.00,484.27,9.38
144.00,591.24,0.00,0.00,487.44,9.38
145.00,598.78,0.00,0.00,490.54,9.37
146.00,606.17,0.00,0.00,493.56,9.37
147.00,613.43,0.00,0.00,496.51,9.37
148.00,620.55,0.00,0.00,499.38,9.37
149.00,627.54,0.00,0.00,502.18,9.36
150.00,634.39,0.00,0.00,504.92,9.36
151.00,641.12,0.00,0.00,507.59,9.36
152.00,647.72,0.00,0.00,510.20,9.35
153.00,654.20,0.00,0.00,512.74,9.35
154.00,660.56,0.00,0.00,515.23,9.35
155.00,666.80,0.00,0.00,517.65,9.35
156.00,672.92,0.00,0.00,520.03,9.34
157.00,678.93,0.00,0.00,522.34,9.34
158.00,684.83,0.00,0.00,524.61,9.34
159.00,690.61,0.00,0.00,526.82,9.33
160.00,696.29,0.00,0.00,528.98,9.33
161.00,701.86,0.00,0.00,531.09,9.33
162.00,707.33,0.00,0.00,533.16,9.33
163.00,712.70,0.00,0.00,535.17,9.32
164.00,717.96,0.00,0.00,537.15,9.32
165.00,723.13,0.00,0.00,539.08,9.32
166.00,728.20,0.00,0.00,540.97,9.31
167.00,733.18,0.00,0.00,542.81,9.31
168.00,738.07,0.00,0.00,544.62,9.31
169.00,742.86,0.00,0.00,546.38,9.31
